Unnamed: 0,Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
54,-56.9706,-59.29626,-78.75273,-87.35419,-78.07726,-82.62308,-68.62756,-66.47472,4.71580958366394,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.0085452695829096,1.2039800995024876
55,-57.30283,-60.8827,-83.07892,-89.26711,-77.26205,-78.81836,-60.49221,-72.54622,4.801947593688965,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.0309257375381486,1.2258706467661693
56,-59.28964,-58.06944,-91.40517,-96.93002,-77.36413,-78.52855,-60.58317,-67.07767,4.887631177902222,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.053306205493388,1.2477611940298508
57,-59.46006,-57.68377,-85.20554,-90.26746,-76.75798,-81.18341,-66.27662,-64.27325,4.974210977554321,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.075686673448627,1.2696517412935324
58,-56.99701,-59.71575,-83.05861,-84.11803,-75.49722,-82.24484,-65.59191,-65.60526,5.059949159622192,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.098067141403866,1.291542288557214
59,-55.80306,-61.20215,-86.86669,-83.8062,-77.69141,-76.53224,-60.42997,-70.52075,5.144904851913452,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.120447609359105,1.3134328358208955
60,-56.44365,-58.98632,-89.45897,-91.08095,-80.45224,-76.94247,-59.57084,-72.9194,5.231739282608032,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.142828077314344,1.3353233830845772
61,-58.09142,-57.47706,-94.93114,-98.12104,-74.43916,-80.2316,-61.9805,-67.62189,5.3167643547058105,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.165208545269583,1.3572139303482589
62,-58.57444,-58.4216,-93.76165,-86.02,-73.6552,-81.67116,-64.37891,-66.26058,5.400592565536499,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.187589013224822,1.3791044776119403
63,-57.81952,-61.63475,-85.28459,-85.2283,-76.88807,-79.3606,-63.00549,-68.04604,5.486525774002075,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.209969481180061,1.400995024875622
64,-58.81484,-66.6328,-81.4247,-87.70609,-81.7835,-79.80305,-62.12501,-69.78032,5.567087411880493,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.2323499491353003,1.4228855721393037
65,-63.19458,-65.34081,-84.56219,-96.37119,-76.34729,-83.96455,-62.9335,-68.89454,5.652153253555298,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.25473041709054,1.4447761194029851
66,-72.23245,-64.3746,-86.64575,-92.12234,-77.18776,-91.52785,-63.48978,-67.77589,5.735774755477905,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.2771108850457784,1.4666666666666668
67,-65.79801,-70.2745,-84.66882,-87.97214,-80.29396,-82.87059,-62.24034,-70.03355,5.822500944137573,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.299491353001017,1.4885572139303485
68,-60.94702,-67.20527,-80.82658,-89.27168,-75.16809,-80.80977,-61.3905,-74.34321,5.907491207122803,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.3218718209562565,1.5323383084577116
69,-58.19197,-58.89439,-81.89667,-96.33224,-71.81204,-81.57594,-61.27531,-70.7393,5.991806268692017,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.344252288911496,1.5542288557213932
70,-56.98549,-55.88651,-87.32198,-93.00121,-72.69495,-84.4021,-62.2787,-66.99551,6.072558403015137,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.3666327568667347,1.5761194029850747
71,-57.10862,-55.61175,-87.49532,-87.87521,-81.20184,-88.97142,-63.47365,-66.29212,6.158827781677246,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.3890132248219738,1.5980099502487564
72,-58.22682,-57.94755,-80.07627,-84.21407,-80.51264,-86.57263,-62.82711,-68.61517,6.24394416809082,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.411393692777213,1.619900497512438
73,-59.9088,-65.05417,-80.72603,-85.87454,-74.30395,-83.79918,-61.82895,-72.16199,6.329872131347656,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.433774160732452,1.6417910447761197
74,-63.46703,-69.47288,-88.27178,-100.43874,-75.59604,-87.3432,-62.71176,-68.71971,6.413240194320679,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.456154628687691,1.6636815920398011
75,-72.59377,-64.17872,-92.54069,-89.09295,-81.30394,-90.12756,-64.10989,-67.99146,6.499679327011108,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.47853509664293,1.6855721393034828
76,-64.80789,-64.44411,-83.30605,-86.53434,-76.03057,-84.63293,-63.39277,-69.21812,6.585115194320679,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.500915564598169,1.7074626865671645
77,-59.20713,-65.22392,-82.71407,-87.72951,-73.21932,-84.89449,-62.32738,-69.30189,6.673155307769775,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.523296032553408,1.729353233830846
78,-57.28333,-63.08787,-87.17635,-95.32746,-75.33784,-82.65714,-62.45627,-68.32035,6.757907390594482,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.5456765005086472,1.7512437810945274
79,-58.22237,-60.90637,-89.79149,-93.35317,-85.11705,-89.79942,-63.58971,-68.53477,6.84555196762085,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.5680569684638863,1.773134328358209
80,-62.17956,-60.63729,-86.55725,-88.04305,-78.13093,-88.77682,-63.48709,-69.41887,6.93012285232544,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.5904374364191254,1.7950248756218907
81,-68.62632,-64.40841,-85.50036,-91.45284,-77.77371,-87.60063,-62.98389,-68.67577,7.016545534133911,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.612817904374364,1.816915422885572
82,-67.02289,-90.63109,-87.18561,-92.26963,-79.97061,-89.38406,-63.38094,-68.54243,7.101834774017334,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,3.635198372329603,1.8388059701492536
