Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
-57.56007,-59.19304,-85.43891,-74.96589,-62.23616,-62.70129,-75.13515,-76.46832,2.612169266,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.425592417,0.625592417
-58.74819,-60.5434,-82.54487,-73.70078,-63.47748,-64.44702,-70.23394,-76.39421,2.664995193,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.438625592,0.638625592
-60.22547,-62.88082,-81.28552,-73.11757,-67.03773,-68.83458,-67.37262,-76.9966,2.719386101,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.451658768,0.651658768
-60.52086,-64.48518,-81.35928,-74.10593,-77.63319,-72.68236,-66.98041,-77.06388,2.771921396,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.464691943,0.664691943
-59.78921,-64.15931,-83.12205,-75.82793,-73.08269,-68.27814,-66.77018,-78.59253,2.825155973,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.477725118,0.677725118
-58.96074,-62.5827,-88.55386,-79.76931,-66.98704,-65.71901,-67.70228,-79.38106,2.87856698,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.490758294,0.690758294
-58.33498,-61.27308,-98.25284,-84.68274,-64.89373,-64.53,-69.1421,-78.80416,2.933119774,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.503791469,0.703791469
-57.78516,-60.62568,-86.08246,-80.77917,-65.18784,-64.56747,-70.2343,-78.57651,2.986957788,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.516824645,0.716824645
-57.8421,-60.87793,-81.51939,-76.52161,-67.85261,-66.50505,-72.84286,-77.82066,3.040167332,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.52985782,0.72985782
-58.02652,-61.65423,-78.78288,-73.9875,-75.75768,-70.54193,-79.55438,-76.88271,3.092988491,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.542890995,0.742890995
-57.7241,-62.31291,-78.4489,-72.61462,-75.3738,-73.15289,-79.64431,-75.34462,3.145457983,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.555924171,0.755924171
-56.90059,-61.30575,-78.29206,-72.43194,-67.0672,-68.61968,-71.03349,-74.24191,3.198430538,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.568957346,0.768957346
-55.37103,-59.20263,-80.6962,-73.49445,-63.83351,-65.2618,-67.22972,-74.01645,3.251033783,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.581990521,0.781990521
-53.87823,-57.26266,-84.87691,-77.05375,-62.95835,-64.0281,-64.71416,-76.7137,3.305573463,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.595023697,0.795023697
-52.82765,-56.0578,-89.28455,-82.13512,-63.58589,-64.88182,-64.18293,-78.97942,3.359553099,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.608056872,0.808056872
-52.45977,-55.67889,-85.96693,-81.25023,-65.87003,-68.55664,-64.70088,-83.90249,3.413066387,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.621090047,0.821090047
-52.79551,-56.00611,-82.43498,-75.79247,-68.66815,-73.18617,-65.72043,-79.41702,3.467581749,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.634123223,0.834123223
-53.56235,-57.02283,-81.52516,-73.2482,-65.55023,-69.0629,-67.09682,-75.7879,3.521639109,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.647156398,0.847156398
-54.41191,-58.06255,-83.37344,-73.35863,-62.74831,-65.66422,-67.02878,-74.59478,3.574575901,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.660189573,0.860189573
-54.51244,-58.48216,-88.75822,-74.98303,-61.56664,-64.40038,-66.33919,-74.368,3.627965212,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.673222749,0.873222749
-54.40297,-58.11645,-97.44039,-77.48018,-62.2272,-65.48569,-66.45435,-75.64112,3.681872845,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.686255924,0.886255924
-54.16047,-57.41307,-85.27938,-79.78658,-64.53432,-68.15302,-67.31766,-78.25516,3.734055042,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.6992891,0.8992891
-53.74837,-56.55263,-82.08321,-77.28941,-68.29162,-72.7493,-69.84691,-79.54673,3.787746429,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.712322275,0.912322275
-53.45026,-55.9056,-80.02575,-74.80163,-68.34284,-70.40932,-72.65551,-82.52575,3.840055704,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.72535545,0.92535545
-53.28004,-55.5956,-80.80314,-73.63496,-63.78461,-65.98039,-73.03735,-81.2167,3.894806862,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.738388626,0.938388626
-53.06917,-55.4949,-83.82343,-73.39198,-61.02337,-63.60481,-70.28589,-79.04769,3.948489904,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.751421801,0.951421801
-52.783,-55.32644,-92.33796,-74.66436,-60.07118,-63.01087,-68.54715,-75.75919,4.002674103,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.764454976,0.964454976
-52.2015,-55.11369,-90.6393,-76.17642,-60.18897,-63.66059,-67.30288,-74.39003,4.055274725,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.777488152,0.977488152
-51.36995,-54.61834,-83.85145,-77.19438,-61.66039,-65.35625,-67.65602,-74.08312,4.10812521,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.790521327,0.990521327
-50.46639,-53.95676,-79.21954,-76.08816,-64.71173,-68.40377,-68.68031,-74.84674,4.161806822,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.803554502,1.003554502
-49.65356,-53.18285,-77.47016,-74.11926,-66.72106,-69.02132,-71.62474,-78.24312,4.214883089,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.816587678,1.016587678
-49.05272,-52.64042,-77.37508,-72.95213,-64.22556,-66.57985,-73.03882,-82.89212,4.267814398,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.829620853,1.029620853
