Unnamed: 0,Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,channel,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
38,-69.75723,-70.09901,-75.11254,-75.93296,-72.70109,-77.45123,-92.62167,-75.88872,10.04306102,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,2.98630137,2.48630137
39,-79.25719,-74.13968,-77.03499,-86.16623,-88.80444,-82.08506,-79.55206,-73.18153,10.29898071,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,3.050880626,2.550880626
40,-74.08574,-66.50235,-73.95585,-75.88569,-82.81671,-79.78043,-75.3486,-69.28108,10.55054331,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,3.115459883,2.615459883
41,-72.54409,-69.52762,-72.37148,-73.6953,-80.18195,-75.70419,-75.51306,-73.82004,10.80466557,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,3.180039139,2.680039139
42,-78.02744,-76.22469,-74.06954,-78.31704,-79.91331,-78.9333,-73.98265,-77.21495,11.05861354,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,3.244618395,2.744618395
43,-74.21916,-81.94975,-80.28268,-77.45338,-80.8914,-77.68925,-74.8949,-74.80906,11.31334376,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,3.309197652,2.809197652
44,-68.64551,-70.13782,-71.31548,-73.2222,-78.38127,-77.86346,-78.27582,-75.32858,11.56746435,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,3.373776908,2.873776908
45,-83.66022,-72.88823,-80.11308,-76.82134,-79.22545,-77.84021,-81.59506,-73.9087,11.8208158,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,3.438356164,2.938356164
46,-77.80694,-83.43837,-83.89349,-77.87297,-86.36902,-79.40463,-81.71839,-76.16796,12.07425523,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,3.502935421,3.002935421
47,-74.41293,-72.23259,-76.63245,-74.74516,-82.29022,-77.5973,-81.97437,-76.29927,12.33169436,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,3.567514677,3.067514677
48,-74.50024,-73.7668,-77.45167,-78.2226,-85.97433,-82.22416,-79.06075,-80.29493,12.5873363,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,3.632093933,3.132093933
49,-88.79368,-74.77847,-78.6351,-75.00058,-83.17139,-77.22826,-96.65142,-78.39693,12.84019041,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,3.69667319,3.19667319
50,-69.59126,-68.22586,-71.19867,-71.06601,-81.1632,-78.98961,-74.82425,-79.22622,13.09324718,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,3.761252446,3.261252446
51,-83.49914,-73.81041,-78.37589,-76.51171,-85.63065,-83.00038,-78.22398,-80.67623,13.3478477,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,3.825831703,3.325831703
52,-77.17933,-75.15195,-75.9181,-76.6583,-88.0502,-77.86831,-86.18926,-80.57755,13.60140634,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,3.890410959,3.390410959
53,-72.73194,-68.51735,-71.79227,-70.49595,-83.67713,-78.898,-77.35363,-75.35361,13.85523367,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,3.954990215,3.454990215
54,-76.57768,-75.06709,-71.08816,-70.13097,-83.68356,-79.58701,-84.6155,-81.25789,14.10942173,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,4.019569472,3.519569472
55,-74.11356,-71.55219,-75.65723,-77.11969,-82.70551,-82.32037,-84.12624,-81.62688,14.36201882,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,4.084148728,3.584148728
56,-80.36905,-78.06963,-80.02601,-77.26689,-85.13525,-80.40444,-79.77512,-79.78112,14.61617684,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,4.148727984,3.648727984
57,-81.9653,-81.46211,-73.85787,-76.87743,-85.67954,-79.68541,-81.05585,-76.92815,14.87033725,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,4.213307241,3.713307241
